index,race,sex,age,priors_count,juv_fel_count,juv_misd_count,charge_degree,charge_reason,charge_explain,model_suggestion,ground_truth,Pair_id,Condition
4581,White,female,26,2,0,0,felony,Grand Theft in the 3rd Degree,The unlawful taking of property worth more than $300,FALSE,TRUE,-1,2
781,White,male,21,2,0,2,felony,Grand Theft (Motor Vehicle),The unlawful taking of property worth more than $300,TRUE,TRUE,-1,2
720,White,male,21,0,0,0,misdemeanor,Battery,Intentionally causing bodily harm to another person without a weapon,TRUE,FALSE,-1,2
4191,White,male,57,1,0,0,misdemeanor,Battery,Intentionally causing bodily harm to another person without a weapon,FALSE,FALSE,-1,2
906,White,male,24,0,0,0,felony,Grand Theft in the 3rd Degree,The unlawful taking of property worth more than $300,FALSE,FALSE,-1,2
4999,White,male,59,2,0,0,misdemeanor,Battery,Intentionally causing bodily harm to another person without a weapon,FALSE,TRUE,-1,2
5190,White,male,21,0,0,0,felony,Grand Theft (Motor Vehicle),The unlawful taking of property worth more than $300,TRUE,TRUE,-1,2
4427,White,male,32,0,0,0,felony,Grand Theft (Motor Vehicle),The unlawful taking of property worth more than $300,FALSE,TRUE,-1,2
5580,Black,male,33,14,0,0,felony,Driving While License Revoked,Driving with a license that has been revoked,TRUE,TRUE,-1,3
3080,Black,male,54,10,0,0,felony,Possession of Cocaine,Possession of cocaine,TRUE,FALSE,-1,3
3954,Black,male,48,10,0,0,felony,Grand Theft in the 3rd Degree,The unlawful taking of property worth more than $300,TRUE,FALSE,-1,3
2593,Black,male,59,14,0,0,felony,Possession of Cocaine,Possession of cocaine,TRUE,TRUE,-1,3
3204,Black,male,31,16,2,1,felony,Grand Theft in the 3rd Degree,The unlawful taking of property worth more than $300,TRUE,TRUE,-1,3
1518,Black,male,32,12,0,0,felony,Possession of Cocaine,Possession of cocaine,TRUE,FALSE,-1,3
1400,Black,female,38,14,0,0,felony,Possession of Cocaine,Possession of cocaine,TRUE,TRUE,-1,3
4772,Black,male,39,19,0,0,misdemeanor,Battery,Intentionally causing bodily harm to another person without a weapon,TRUE,TRUE,-1,3
5612,Black,male,30,0,0,0,felony,Possession of Cocaine,Possession of cocaine,TRUE,TRUE,-1,4
4414,Black,male,22,0,0,0,felony,Grand Theft in the 3rd Degree,The unlawful taking of property worth more than $300,TRUE,FALSE,-1,4
6037,Black,male,23,0,0,0,felony,Felony Battery (Dom Strang),Intentionally causing bodily harm to another person without a weapon,TRUE,FALSE,-1,4
4910,Black,male,23,1,0,0,felony,Grand Theft (Motor Vehicle),The unlawful taking of property worth more than $300,TRUE,FALSE,-1,4
3269,Black,male,33,2,0,0,felony,Grand Theft in the 3rd Degree,The unlawful taking of property worth more than $300,TRUE,TRUE,-1,4
1986,Black,male,46,2,0,0,felony,Grand Theft in the 3rd Degree,The unlawful taking of property worth more than $300,TRUE,FALSE,-1,4
4839,Black,male,22,2,0,0,misdemeanor,Battery,Intentionally causing bodily harm to another person without a weapon,TRUE,TRUE,-1,4
699,Black,male,46,0,0,0,felony,Grand Theft in the 3rd Degree,The unlawful taking of property worth more than $300,TRUE,FALSE,-1,4
